“аймкод в видео,"1. Ќасколько ¬ы чувствовали себ€ вовлеченным в игру? (1- совсем нет, 7 - очень сильно)","2. Ќапишите эмоцию, точно описывающее ¬аше состо€ние в этот момент (—ћ. Ћ»—“  ќЋ≈—ќ Ёћќ÷»»)","3. Ќасколько сильно ¬ас это эмоционально затронуло? (1- не затронуло, 7 - сильно затронуло)","4. „увствовали ли ¬ы контроль над ситуацией? (1- совсем нет, 7 - в полной мере)","5. Ѕыло ли это при€тно или непри€тно? (1 - крайне непри€тно, 7 - очень при€тно)","–асскажите подробнее о своих мысл€х и эмоци€х в этот момент игры, а также оставьте любые другие комментарии на своЄ усмотрение.",
00:15:02 Ц 00:15:10,7,»нтерес,7,7,4,,
00:15:49 Ц 00:15:57,6,—покойствие,4,7,4,,
00:16:20 Ц 00:16:28,1,—покойствие,1,7,1,,
00:16:49 Ц 00:16:57,7,»нтерес,7,7,4,,
00:16:53 Ц 00:17:01,7,√нев,7,7,1,,
00:17:34 Ц 00:17:42,7,√нев,7,7,1,,
00:17:51 Ц 00:17:59,1,√нев,7,7,1,,
00:17:52 Ц 00:18:00,7,√нев,7,7,1,,
00:18:21 Ц 00:18:29,7,√нев,7,7,1,,
00:18:34 Ц 00:18:42,7,–адость,7,7,1,,
00:19:06 Ц 00:19:14,7,—покойствие,7,7,3,,
00:19:14 Ц 00:19:22,7,ѕечаль,7,4,4,,
00:19:21 Ц 00:19:29,7,јгресси€,7,7,7,,
00:19:26 Ц 00:19:34,7,јгресси€,7,7,7,,
00:19:39 Ц 00:19:47,7,јгресси€,7,7,7,,
00:19:48 Ц 00:19:56,7,√нев,7,1,1,,
00:20:00 Ц 00:20:08,7,√нев,7,1,1,,
00:21:04 Ц 00:21:12,7,»нтерес,7,7,4,,
00:21:05 Ц 00:21:13,7,»нтерес,7,7,4,,
00:21:23 Ц 00:21:31,7,»нтерес,7,7,4,,
00:22:14 Ц 00:22:22,7,√нев,7,1,1,,
00:22:22 Ц 00:22:30,7,√нев,7,3,1,,
00:22:54 Ц 00:23:02,7,ярость,7,6,7,,
00:23:02 Ц 00:23:10,7,ќпасение,7,4,7,,
00:23:42 Ц 00:23:50,7,»нтерес,7,7,7,,
00:25:21 Ц 00:25:29,7,ярость,7,7,4,,
00:25:22 Ц 00:25:30,7,ярость,7,4,1,,
00:25:44 Ц 00:25:52,7,»нтерес,7,4,4,,
00:25:51 Ц 00:25:59,7,»нтерес,7,4,4,,
00:26:29 Ц 00:26:37,7,»нтерес,7,3,3,,
00:26:30 Ц 00:26:38,7,»нтерес,7,3,3,,
00:26:52 Ц 00:27:00,7,»нтерес,7,3,3,,
00:27:00 Ц 00:27:08,7,ќпасение,7,1,4,,
00:27:01 Ц 00:27:09,7,ќпасение,7,1,3,,
00:27:33 Ц 00:27:41,7,ќпасение,7,4,6,,
00:27:36 Ц 00:27:44,7,»нтерес,7,4,6,,
00:27:45 Ц 00:27:53,7,»нтерес,7,7,7,,
00:27:48 Ц 00:27:56,7,јгресси€,7,5,5,,
00:28:00 Ц 00:28:08,7,√нев,7,6,6,,
00:28:01 Ц 00:28:09,7,√нев,7,5,5,,
00:28:20 Ц 00:28:28,7,√нев,7,5,5,,
00:28:42 Ц 00:28:50,7,√нев,7,3,3,,
00:28:44 Ц 00:28:52,7,√нев,7,3,3,,
00:28:52 Ц 00:29:00,7,√нев,7,3,3,,
00:29:21 Ц 00:29:29,7,√нев,7,3,3,,
00:29:57 Ц 00:30:05,7,»нтерес,7,7,7,,
00:30:37 Ц 00:30:45,7,јгресси€,7,7,1,,
00:30:39 Ц 00:30:47,7,јгресси€,7,7,1,,
00:30:44 Ц 00:30:52,7,√нев,7,1,1,,
00:30:45 Ц 00:30:53,7,√нев,7,1,1,,
00:31:03 Ц 00:31:11,7,»нтерес,7,7,7,,
00:31:04 Ц 00:31:12,7,»нтеес,7,7,7,,
00:31:54 Ц 00:32:02,7,¬осхищение,7,7,7,,
00:32:27 Ц 00:32:35,7,»нтерес,7,4,4,,
00:32:46 Ц 00:32:54,7,ќпасение,7,4,5,,
00:32:56 Ц 00:33:04,7,ќпасение,7,4,4,,
00:33:13 Ц 00:33:21,7,ќпасение,7,1,4,,
00:33:25 Ц 00:33:33,7,»нтерес,7,3,3,,
00:33:43 Ц 00:33:51,7,»нтерес,7,4,4,,
00:33:49 Ц 00:33:57,7,»нтерес,7,4,4,,
00:34:00 Ц 00:34:08,7,»нтерес,7,7,4,,
00:34:16 Ц 00:34:24,7,»нтерес,7,7,4,,
00:34:19 Ц 00:34:27,7,—покойствие,7,7,4,,
00:34:29 Ц 00:34:37,7,—покойствие,7,7,4,,
00:34:55 Ц 00:35:03,7,—покойствие,7,7,4,,
00:34:57 Ц 00:35:05,7,—покойствие,7,7,4,,
00:35:01 Ц 00:35:09,7,—покойствие,7,7,4,,
00:35:02 Ц 00:35:10,7,—покойствие,7,7,4,,
00:35:31 Ц 00:35:39,7,ќпасение,7,4,4,,
00:35:50 Ц 00:35:58,7,ќпасение,7,4,4,,
00:35:52 Ц 00:36:00,7,ќпасение,7,4,4,,
00:36:02 Ц 00:36:10,7,»нтерес,7,7,4,,
00:36:07 Ц 00:36:15,7,»нтерес,7,7,4,,
00:36:17 Ц 00:36:25,7,»нтерес,7,4,4,,
00:36:35 Ц 00:36:43,7,ќпасение,7,4,4,,
00:36:48 Ц 00:36:56,7,ќпасение,7,4,4,,
00:36:51 Ц 00:36:59,7,»нтерес,7,4,4,,
00:36:56 Ц 00:37:04,7,ќпасение,7,4,4,,
00:37:25 Ц 00:37:33,7,ќпасение,7,4,4,,
00:38:11 Ц 00:38:19,7,ќпасение,7,4,4,,
00:38:49 Ц 00:38:57,7,ќпасение,7,4,4,,
00:38:52 Ц 00:39:00,7,ќпасение,7,4,4,,
00:39:07 Ц 00:39:15,7,«адумчивость,7,4,4,,
00:39:44 Ц 00:39:52,7,јгресси€,7,4,4,,
00:39:53 Ц 00:40:01,7,»нтерес,7,4,4,,
00:39:59 Ц 00:40:07,7,ѕечаль,7,4,4,,
00:40:10 Ц 00:40:18,7,√нев,7,2,1,,
00:40:18 Ц 00:40:26,7,√нев,7,3,1,,
00:40:35 Ц 00:40:43,7,ќпасение,7,4,4,,
00:41:59 Ц 00:42:07,7,ќпасение,7,4,6,,
00:42:39 Ц 00:42:47,7,»нтерес,7,7,6,,
00:43:50 Ц 00:43:58,7,»нтерес,7,4,2,,
00:44:15 Ц 00:44:23,7,ќпасение,7,4,4,,
00:44:38 Ц 00:44:46,7,ќпасение,7,4,4,,
00:44:46 Ц 00:44:54,7,ƒосада,7,2,2,,
00:44:47 Ц 00:44:55,7,ƒосада,7,2,2,,
00:44:50 Ц 00:44:58,7,ƒосада,7,2,2,,
00:44:51 Ц 00:44:59,7,√нев,7,1,1,,
00:45:01 Ц 00:45:09,7,√нев,7,1,1,,
00:47:29 Ц 00:47:37,7,»нтерес,7,4,4,,
00:47:36 Ц 00:47:44,7,јгресси€,7,6,6,,
00:47:40 Ц 00:47:48,7,јгресси€,7,6,6,,
00:47:55 Ц 00:48:03,7,јгресси€,7,6,6,,
00:48:09 Ц 00:48:17,7,ќпасение,7,5,5,,
00:48:39 Ц 00:48:47,7,ќпасение,7,4,4,,
00:49:43 Ц 00:49:51,7,»нтерес,7,4,4,,
00:50:32 Ц 00:50:40,7,ќпасение,7,6,6,,
00:50:38 Ц 00:50:46,7,»нтерес,7,4,3,,
00:50:59 Ц 00:51:07,7,ќпасение,7,6,6,,
00:51:10 Ц 00:51:18,7,»нтерес,7,7,7,,
00:51:17 Ц 00:51:25,7,ќпасение,7,5,5,,
00:52:11 Ц 00:52:19,7,—трах,7,1,4,,
00:52:24 Ц 00:52:32,7,јгресси€,7,6,6,,
00:52:28 Ц 00:52:36,7,јгресси€,7,7,7,,
